split_name,compound,dose,method,n_target_cells,training_steps,program_readout_mmd,program_readout_sliced_w2,program_readout_mean_abs_error,program_readout_centroid_l2,program_readout_mean_mse
Split B held-out highest dose,AG-14361,10000.0,vehicle_as_prediction,233,6000,0.028378936075446726,0.40376422982360116,0.20739896193631094,1.4358583373970137,0.06872297216908388
Split B held-out highest dose,AG-14361,10000.0,mean_shift,233,6000,0.018591515010560222,0.3845384800399762,0.16471201212436795,1.1247112239451895,0.042165844575609554
Split B held-out highest dose,AG-14361,10000.0,M1_unconditional,233,6000,0.0328413681636347,0.47106577934105553,0.19562283051985588,1.4004919552985233,0.06537925722852937
Split B held-out highest dose,AG-14361,10000.0,M3_no_chemistry,233,6000,0.02084648765745767,0.4321626141579673,0.18444106846043484,1.3807539691087554,0.06354938410698605
Split B held-out highest dose,AG-14361,10000.0,M4_chemistry_aware,233,6000,0.02748473151268782,0.4445556811590296,0.19784930948985394,1.3129244634571076,0.057459021558137785
Split B held-out highest dose,AG-14361,10000.0,M2_per_compound,233,6000,0.023028204248462747,0.4422594176027637,0.18946097094938977,1.26703899814646,0.05351292742746617
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,vehicle_as_prediction,212,6000,0.011075504406259151,0.31507001395025597,0.11003369499817868,0.7373707337533336,0.018123853299864323
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,mean_shift,212,6000,0.015952236898660543,0.3873761086873142,0.11105144601355987,0.7007844577144603,0.016369961872471677
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M1_unconditional,212,6000,0.012866442608084339,0.273723130630242,0.09975188065578984,0.6699094450302912,0.01495928881802642
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M3_no_chemistry,212,6000,0.011794770454726655,0.2586322970823532,0.07978014528564946,0.5539378149763496,0.010228236762025753
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M4_chemistry_aware,212,6000,0.015679418219818886,0.283352073279135,0.0989835231466782,0.7700454636344618,0.019765667202133776
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M2_per_compound,212,6000,0.014892160424355039,0.2807700531607845,0.1076661570806398,0.6986728542471602,0.016271458575395786
Split B held-out highest dose,Alisertib (MLN8237),10000.0,vehicle_as_prediction,250,6000,0.03888121267116129,0.6101603521244746,0.3075051860660819,2.0615478078101765,0.1416659787962315
Split B held-out highest dose,Alisertib (MLN8237),10000.0,mean_shift,250,6000,0.07472647666960552,0.6581474577428899,0.2309930337706891,1.7124892713813384,0.09775398348653958
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M1_unconditional,250,6000,0.06652351700169412,0.7578439462060288,0.25925934734566447,1.8630032186320273,0.11569269975444313
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M3_no_chemistry,250,6000,0.01987227657619428,0.5328654236933301,0.23721171151511375,1.6260571740477896,0.0881353977757428
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M4_chemistry_aware,250,6000,0.043005355917823396,0.5891533945989814,0.33231158435568986,2.31916433522531,0.17928410712603515
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M2_per_compound,250,6000,0.04482253557356197,0.5810305399207879,0.31021390238174557,2.148668101313278,0.15389248698670693
Split B held-out highest dose,Altretamine,10000.0,vehicle_as_prediction,243,6000,0.013164922608143614,0.27354667368694824,0.10857128422092585,0.758805665648114,0.019192867940655913
Split B held-out highest dose,Altretamine,10000.0,mean_shift,243,6000,0.009281341528741271,0.28094769892542887,0.06739107061707908,0.473737956873675,0.007480921726094799
Split B held-out highest dose,Altretamine,10000.0,M1_unconditional,243,6000,0.012930331567632236,0.2820546166389928,0.09619150468671202,0.6468279623666333,0.013946213763312362
Split B held-out highest dose,Altretamine,10000.0,M3_no_chemistry,243,6000,0.009613007618928915,0.27427132190634296,0.08737206652239352,0.5826417705062804,0.011315714424623103
Split B held-out highest dose,Altretamine,10000.0,M4_chemistry_aware,243,6000,0.02347802922057185,0.2914632683740319,0.13236320366821777,0.9095572360462644,0.02757647885480399
Split B held-out highest dose,Altretamine,10000.0,M2_per_compound,243,6000,0.01362590270022268,0.3081404925509877,0.088384839987408,0.6376500055468898,0.013553250985798284
Split B held-out highest dose,Aminoglutethimide,10000.0,vehicle_as_prediction,225,6000,0.012106268637051776,0.29544998734323447,0.11100671201753397,0.7787651488338517,0.02021583856794038
Split B held-out highest dose,Aminoglutethimide,10000.0,mean_shift,225,6000,0.01857596157072705,0.30183634914809016,0.11282708501970101,0.7302591573183406,0.017775947894909765
Split B held-out highest dose,Aminoglutethimide,10000.0,M1_unconditional,225,6000,0.00970174656536138,0.2521736214278657,0.09741098361917293,0.6249385883808994,0.01301827464158371
Split B held-out highest dose,Aminoglutethimide,10000.0,M3_no_chemistry,225,6000,0.008640718003753212,0.2336315554909412,0.08247604450280722,0.5352199941739729,0.009548681405452923
Split B held-out highest dose,Aminoglutethimide,10000.0,M4_chemistry_aware,225,6000,0.017178513758176583,0.2747191040496777,0.11123420815155531,0.8176930750810195,0.022287398834515127
Split B held-out highest dose,Aminoglutethimide,10000.0,M2_per_compound,225,6000,0.02779743458891104,0.3149429837214058,0.166609981220077,1.1215940580238188,0.04193244103314458
Split B held-out highest dose,Amisulpride,10000.0,vehicle_as_prediction,229,6000,0.013837649249114126,0.3129739876735894,0.12108780449773075,0.8365539675347594,0.023327418019938245
Split B held-out highest dose,Amisulpride,10000.0,mean_shift,229,6000,0.011847082288837019,0.2867784098857571,0.09563990547732981,0.6211036951271466,0.012858993336686515
Split B held-out highest dose,Amisulpride,10000.0,M1_unconditional,229,6000,0.014995158857943891,0.34831713683578636,0.11867569718754498,0.8097366739838008,0.021855782706478262
Split B held-out highest dose,Amisulpride,10000.0,M3_no_chemistry,229,6000,0.010206774409075359,0.3038292181196075,0.10120060183211961,0.6623231129004248,0.014622396862736963
Split B held-out highest dose,Amisulpride,10000.0,M4_chemistry_aware,229,6000,0.020339213987108917,0.3460862474820167,0.09297722882425737,0.6971769971948257,0.016201858847253135
Split B held-out highest dose,Amisulpride,10000.0,M2_per_compound,229,6000,0.02563224421685939,0.3622870459124084,0.13922678316526638,0.9654013254131341,0.031066657303647868
Split B held-out highest dose,Andarine,10000.0,vehicle_as_prediction,250,6000,0.012276994466960622,0.34093987816685933,0.12533546575920856,0.8895630889332903,0.026377416306417902
Split B held-out highest dose,Andarine,10000.0,mean_shift,250,6000,0.011721113562948582,0.33699184049222825,0.100125883980688,0.7130122158228853,0.016946213997088688
Split B held-out highest dose,Andarine,10000.0,M1_unconditional,250,6000,0.010930677272041223,0.4186899984171211,0.10214807109146191,0.674095244334826,0.015146813281160963
Split B held-out highest dose,Andarine,10000.0,M3_no_chemistry,250,6000,0.011000923153365094,0.38320297395952374,0.12038106902398783,0.763581967530263,0.019435247371246252
Split B held-out highest dose,Andarine,10000.0,M4_chemistry_aware,250,6000,0.022228847593617318,0.4211721895278442,0.15068285453509223,1.0435860915160897,0.03630239768019428
Split B held-out highest dose,Andarine,10000.0,M2_per_compound,250,6000,0.012765758174622222,0.43134310156183375,0.10783840251124456,0.7915268543381507,0.020883825371281604
Split B held-out highest dose,Azacitidine,10000.0,vehicle_as_prediction,250,6000,0.045490376075360106,0.4257338228497122,0.23298607017513037,1.6693876396500382,0.09289516971387754
Split B held-out highest dose,Azacitidine,10000.0,mean_shift,250,6000,0.0394129775736598,0.4124385143457187,0.24845028071175038,1.7161573311943719,0.09817319951373962
Split B held-out highest dose,Azacitidine,10000.0,M1_unconditional,250,6000,0.04460946542130306,0.44708883300467006,0.23536895124648682,1.581439337048367,0.0833650125587993
Split B held-out highest dose,Azacitidine,10000.0,M3_no_chemistry,250,6000,0.032907240621888434,0.408673193199622,0.24717427173772594,1.6909512596709633,0.09531053875276058
Split B held-out highest dose,Azacitidine,10000.0,M4_chemistry_aware,250,6000,0.03719451034359311,0.4052750558746589,0.25433351701757834,1.6199800310347574,0.08747784336504578
Split B held-out highest dose,Azacitidine,10000.0,M2_per_compound,250,6000,0.037849751432489476,0.4260898734592724,0.3000457924827011,1.8017056804160752,0.10820477862811843
Split C held-out compound,Alisertib (MLN8237),10.0,vehicle_as_prediction,250,6000,0.031085423536439838,0.5264601583757219,0.2388222843546862,1.6442599418624024,0.09011969188044501
Split C held-out compound,Alisertib (MLN8237),10.0,mean_shift,250,6000,0.03411069545354495,0.5399533363920177,0.21611681465964847,1.6606677081587153,0.091927241230704
Split C held-out compound,Alisertib (MLN8237),10.0,nearest_chemistry,250,6000,0.05303770854941714,0.6001624223288426,0.2242869847308068,1.8294701675082168,0.11156536979341808
Split C held-out compound,Alisertib (MLN8237),10.0,M1_unconditional,250,6000,0.059474528885567146,0.7435736988195245,0.25163869937633915,1.9713194821631577,0.129536683358534
Split C held-out compound,Alisertib (MLN8237),10.0,M3_no_chemistry,250,6000,0.03340359059742559,0.6726167919007197,0.24020687769099994,1.807330224713611,0.1088814180387784
Split C held-out compound,Alisertib (MLN8237),10.0,M4_chemistry_aware,250,6000,0.05607436896473106,0.6068922436520179,0.36137750947515396,2.4610286481813595,0.20188873357231227
Split C held-out compound,Alisertib (MLN8237),100.0,vehicle_as_prediction,250,6000,0.07380528362892969,0.8736625717643702,0.4230582257827792,2.7999120110381366,0.26131690898518734
Split C held-out compound,Alisertib (MLN8237),100.0,mean_shift,250,6000,0.10895517409871192,1.0064224576229661,0.4123599206119902,3.0220646343782867,0.3044291551453322
Split C held-out compound,Alisertib (MLN8237),100.0,nearest_chemistry,250,6000,0.10974252980493149,0.9685468125729826,0.4331035537573635,3.097894924991554,0.3198984322096143
Split C held-out compound,Alisertib (MLN8237),100.0,M1_unconditional,250,6000,0.14750191901312637,1.1889228878149907,0.46341850133499146,3.323571091334962,0.36820415997191575
Split C held-out compound,Alisertib (MLN8237),100.0,M3_no_chemistry,250,6000,0.11914883683556454,1.1359028336643546,0.44321895539380013,3.253822718227517,0.3529120760551168
Split C held-out compound,Alisertib (MLN8237),100.0,M4_chemistry_aware,250,6000,0.07417119837452568,0.9439852271968902,0.5912845198964516,3.918254476524531,0.5117572714268176
Split C held-out compound,Alisertib (MLN8237),1000.0,vehicle_as_prediction,250,6000,0.09424791366465746,1.099659587352375,0.37101727657844363,2.8168651911620484,0.26449098350601347
Split C held-out compound,Alisertib (MLN8237),1000.0,mean_shift,250,6000,0.10071117855625533,1.077508966191461,0.4049848965919421,3.0933985103180373,0.3189704781212617
Split C held-out compound,Alisertib (MLN8237),1000.0,nearest_chemistry,250,6000,0.10694121000569135,1.0871502016608212,0.3990976950145947,3.26658278235719,0.3556854357997479
Split C held-out compound,Alisertib (MLN8237),1000.0,M1_unconditional,250,6000,0.14449142733762754,1.3214709729201513,0.4176551434801814,3.1935845333269977,0.33996607238351384
Split C held-out compound,Alisertib (MLN8237),1000.0,M3_no_chemistry,250,6000,0.10433794131067853,1.2483218428074496,0.40536658850347157,3.167363628014542,0.33440641173564806
Split C held-out compound,Alisertib (MLN8237),1000.0,M4_chemistry_aware,250,6000,0.05340336361133202,0.9633893945385247,0.5035758979288085,3.539344291694875,0.41756526717176984
Split C held-out compound,Alisertib (MLN8237),10000.0,vehicle_as_prediction,250,6000,0.05497017074907029,0.6392714454213922,0.28756832397029625,2.045149675633998,0.1394212398581949
Split C held-out compound,Alisertib (MLN8237),10000.0,mean_shift,250,6000,0.06697026813532903,0.6727790435466897,0.328947568453139,2.2474563068233313,0.1683686617026656
Split C held-out compound,Alisertib (MLN8237),10000.0,nearest_chemistry,250,6000,0.07712956141787009,0.674397601214721,0.3499486139267885,2.5658340995435354,0.21945015421267952
Split C held-out compound,Alisertib (MLN8237),10000.0,M1_unconditional,250,6000,0.0832866906023857,0.824175648106614,0.3070722326467481,2.1435482140264117,0.15315996486186068
Split C held-out compound,Alisertib (MLN8237),10000.0,M3_no_chemistry,250,6000,0.05537308970320942,0.7554943016152491,0.30993728634833506,2.215415659982464,0.16360221821651785
Split C held-out compound,Alisertib (MLN8237),10000.0,M4_chemistry_aware,250,6000,0.04758148799817752,0.6293142365417735,0.3673182811762407,2.733604241607628,0.2490864049911738
