split_name,method,n_target_cells,training_steps,program_readout_mmd,program_readout_sliced_w2,program_readout_mean_abs_error,program_readout_centroid_l2,program_readout_mean_mse
Split B held-out highest dose,M1_unconditional,236.5,6000.0,0.02567483843221187,0.4063696328127203,0.15055365829408612,1.033805303134421,0.042920417844041686
Split B held-out highest dose,M2_per_compound,236.5,6000.0,0.02505174891993557,0.39335793848628053,0.17618085372230902,1.1790322346806208,0.05491472828894496
Split B held-out highest dose,M3_no_chemistry,236.5,6000.0,0.015610274811923702,0.353408574701211,0.14250462236002903,0.9744333828643499,0.039018199682696805
Split B held-out highest dose,M4_chemistry_aware,236.5,6000.0,0.025823577569174735,0.38197212679317194,0.17134192864861536,1.1862659616487297,0.05579434668351488
Split B held-out highest dose,mean_shift,236.5,6000.0,0.025013588137967502,0.3811318574084254,0.14139883971439565,0.974031913672176,0.038690633300392525
Split B held-out highest dose,vehicle_as_prediction,236.5,6000.0,0.021901483023687177,0.37220486820233445,0.16549064745888764,1.1459815486950722,0.05131518935175121
Split C held-out compound,M1_unconditional,250.0,6000.0,0.10868864145967669,1.0195358019153202,0.35994614420956506,2.658005830212882,0.24771672014395607
Split C held-out compound,M3_no_chemistry,250.0,6000.0,0.07806586461171952,0.9530839424969433,0.34968242698415164,2.6109830577345337,0.23995053101151528
Split C held-out compound,M4_chemistry_aware,250.0,6000.0,0.05780760473719157,0.7858952754823015,0.4558890521191637,3.1630579145020983,0.3450744192905184
Split C held-out compound,mean_shift,250.0,6000.0,0.0776868290609603,0.8241659509382836,0.34060230007917996,2.5058967899195927,0.2209238840499909
Split C held-out compound,nearest_chemistry,250.0,6000.0,0.08671275244447751,0.8325642594443419,0.35160921185738836,2.689945493600124,0.2516498480038649
Split C held-out compound,vehicle_as_prediction,250.0,6000.0,0.06352719789477432,0.7847634407284648,0.3301165276715513,2.326546704924146,0.18883720605746018
