step,train_loss_20d,val_mse_20d_fixed_t_grid,wall_time_sec,sec_per_step_since_last_log,batch_size,x_dim,hidden_dim,hidden_layers,n_parameters,device
1,12.801839828491211,11.54058583577474,0.22223168145865202,0.22223168145865202,256,20,256,4,208148,cuda
100,6.530109405517578,6.431706587473552,0.4217621358111501,0.002015459134873718,256,20,256,4,208148,cuda
200,5.763646602630615,5.7628984451293945,0.6190197207033634,0.0019725758489221334,256,20,256,4,208148,cuda
300,5.223789691925049,5.470394611358643,0.8120156414806843,0.0019299592077732085,256,20,256,4,208148,cuda
400,5.226806163787842,5.2160515785217285,1.0079429233446717,0.0019592728186398744,256,20,256,4,208148,cuda
500,4.734096527099609,5.139825344085693,1.2339568538591266,0.0022601393051445485,256,20,256,4,208148,cuda
600,4.864561080932617,4.98212464650472,1.4184231413528323,0.0018446628749370574,256,20,256,4,208148,cuda
700,4.774942398071289,5.023264726003011,1.604690631851554,0.001862674904987216,256,20,256,4,208148,cuda
800,4.328521251678467,5.015097618103027,1.7888570306822658,0.0018416639883071183,256,20,256,4,208148,cuda
900,4.083056926727295,5.141393820444743,1.9736443627625704,0.0018478733208030463,256,20,256,4,208148,cuda
1000,4.116706848144531,4.802917957305908,2.1576318107545376,0.001839874479919672,256,20,256,4,208148,cuda
1100,4.401232719421387,4.97777525583903,2.391103830188513,0.0023347201943397524,256,20,256,4,208148,cuda
1200,4.046910285949707,4.9908766746521,2.57618251349777,0.0018507868330925703,256,20,256,4,208148,cuda
1300,3.9680967330932617,4.97988764444987,2.7606031401082873,0.001844206266105175,256,20,256,4,208148,cuda
1400,3.8851232528686523,4.993577321370442,2.9447812950238585,0.001841781549155712,256,20,256,4,208148,cuda
1500,4.193731784820557,5.081516106923421,3.1330506848171353,0.0018826938979327678,256,20,256,4,208148,cuda
