experiment,seed,variant,variant_family,target,training_steps_total,sampling,pairs,pair_weights,mmd_rbf,sliced_w2,centroid_l2
EB Section 5.1 main suite,42,pairwise_local_bridges_6000,pairwise,hidden_t2,6000,local_pairwise,0-1;1-3;3-4,,0.08073851729489456,0.4027115280685102,1.1153115034103394
EB Section 5.1 main suite,42,pairwise_local_bridges_6000,pairwise,seen_t4,6000,local_pairwise,0-1;1-3;3-4,,0.007198873522526461,0.21481541044969396,0.6789745688438416
EB Section 5.1 main suite,42,shared_adjacent_only_6000,shared_adjacent,hidden_t2,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.05940583807058997,0.3768716935363212,1.1577624082565308
EB Section 5.1 main suite,42,shared_adjacent_only_6000,shared_adjacent,seen_t4,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.008241241167264157,0.18874103754409596,0.5718246102333069
EB Section 5.1 main suite,42,shared_skip_uniform_6000,shared_skip,hidden_t2,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.06624147714196815,0.38331669908175153,1.2239480018615723
EB Section 5.1 main suite,42,shared_skip_uniform_6000,shared_skip,seen_t4,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.007471558493205355,0.2055875942111325,0.6639538407325745
EB Section 5.1 main suite,42,shared_skip_adj2_skip1_9000,shared_skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.06329379156374049,0.3796122993809717,1.3187592029571533
EB Section 5.1 main suite,42,shared_skip_adj2_skip1_9000,shared_skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.008890528537740139,0.24014163845791311,0.7678597569465637
EB Section 5.1 main suite,43,pairwise_local_bridges_6000,pairwise,hidden_t2,6000,local_pairwise,0-1;1-3;3-4,,0.08528493961455741,0.40462780044915125,1.1200016736984253
EB Section 5.1 main suite,43,pairwise_local_bridges_6000,pairwise,seen_t4,6000,local_pairwise,0-1;1-3;3-4,,0.008276965960928306,0.15700252389790606,0.616722822189331
EB Section 5.1 main suite,43,shared_adjacent_only_6000,shared_adjacent,hidden_t2,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.06053356030633805,0.36132435379465083,1.2131531238555908
EB Section 5.1 main suite,43,shared_adjacent_only_6000,shared_adjacent,seen_t4,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.010638686012747145,0.3082993595863137,0.909460186958313
EB Section 5.1 main suite,43,shared_skip_uniform_6000,shared_skip,hidden_t2,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.06060126106245889,0.3691498848990487,1.177026391029358
EB Section 5.1 main suite,43,shared_skip_uniform_6000,shared_skip,seen_t4,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.006670176429601327,0.18573681413871987,0.5875638127326965
EB Section 5.1 main suite,43,shared_skip_adj2_skip1_9000,shared_skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.06062639405564685,0.373290326007719,1.1016004085540771
EB Section 5.1 main suite,43,shared_skip_adj2_skip1_9000,shared_skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.011829607007953657,0.23390359818750006,0.784841001033783
EB Section 5.1 main suite,44,pairwise_local_bridges_6000,pairwise,hidden_t2,6000,local_pairwise,0-1;1-3;3-4,,0.08487795239653229,0.4180160597857422,1.1484763622283936
EB Section 5.1 main suite,44,pairwise_local_bridges_6000,pairwise,seen_t4,6000,local_pairwise,0-1;1-3;3-4,,0.005137553502378878,0.14436641816623197,0.45168355107307434
EB Section 5.1 main suite,44,shared_adjacent_only_6000,shared_adjacent,hidden_t2,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.04956653395974564,0.32979327622072435,1.0462566614151
EB Section 5.1 main suite,44,shared_adjacent_only_6000,shared_adjacent,seen_t4,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.023440493351310265,0.4677742514976396,1.2312610149383545
EB Section 5.1 main suite,44,shared_skip_uniform_6000,shared_skip,hidden_t2,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.054828893473985674,0.37651991140461627,1.2396947145462036
EB Section 5.1 main suite,44,shared_skip_uniform_6000,shared_skip,seen_t4,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.014124541962952042,0.32251766114712743,0.9276400804519653
EB Section 5.1 main suite,44,shared_skip_adj2_skip1_9000,shared_skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.07851645246597372,0.3999985387628381,1.2428960800170898
EB Section 5.1 main suite,44,shared_skip_adj2_skip1_9000,shared_skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.005968359013309221,0.17095095034214597,0.4387962520122528
