section,claim_part,source_table,source_row_id,method_or_variant,target_or_boundary,metric,value,std,n_seeds,display_value,note
5.1,hidden_t2_main_comparison,tab_5_1_main_suite_summary.csv,pairwise_local_bridges_6000|hidden_t2|mmd_rbf,pairwise_local_bridges_6000,hidden_t2,mmd_rbf,0.0836338031019948,0.002515635024701712,3,0.0836,
5.1,hidden_t2_main_comparison,tab_5_1_main_suite_summary.csv,pairwise_local_bridges_6000|hidden_t2|sliced_w2,pairwise_local_bridges_6000,hidden_t2,sliced_w2,0.4084517961011345,0.008338128077136412,3,0.408,
5.1,hidden_t2_main_comparison,tab_5_1_main_suite_summary.csv,shared_adjacent_only_6000|hidden_t2|mmd_rbf,shared_adjacent_only_6000,hidden_t2,mmd_rbf,0.056501977445557884,0.006032679472582792,3,0.0565,
5.1,hidden_t2_main_comparison,tab_5_1_main_suite_summary.csv,shared_adjacent_only_6000|hidden_t2|sliced_w2,shared_adjacent_only_6000,hidden_t2,sliced_w2,0.3559964411838988,0.023987170192130456,3,0.356,
5.1,hidden_t2_main_comparison,tab_5_1_main_suite_summary.csv,shared_skip_adj2_skip1_9000|hidden_t2|mmd_rbf,shared_skip_adj2_skip1_9000,hidden_t2,mmd_rbf,0.06747887936178702,0.00965141271468821,3,0.0675,
5.1,hidden_t2_main_comparison,tab_5_1_main_suite_summary.csv,shared_skip_adj2_skip1_9000|hidden_t2|sliced_w2,shared_skip_adj2_skip1_9000,hidden_t2,sliced_w2,0.3843003880505096,0.013957642661755736,3,0.384,
5.1,seen_t4_long_horizon,tab_5_1_main_suite_summary.csv,shared_adjacent_only_6000|seen_t4|sliced_w2,shared_adjacent_only_6000,seen_t4,sliced_w2,0.32160488287601646,0.1399916473751939,3,0.322,
5.1,seen_t4_long_horizon,tab_5_1_main_suite_summary.csv,shared_adjacent_only_6000|seen_t4|centroid_l2,shared_adjacent_only_6000,seen_t4,centroid_l2,0.9041819373766581,0.3297498868863559,3,0.904,
5.1,seen_t4_long_horizon,tab_5_1_main_suite_summary.csv,shared_skip_adj2_skip1_9000|seen_t4|sliced_w2,shared_skip_adj2_skip1_9000,seen_t4,sliced_w2,0.21499872899585304,0.03827379508029358,3,0.215,
5.1,seen_t4_long_horizon,tab_5_1_main_suite_summary.csv,shared_skip_adj2_skip1_9000|seen_t4|centroid_l2,shared_skip_adj2_skip1_9000,seen_t4,centroid_l2,0.6638323366641998,0.19507183345961593,3,0.664,
